 XAxis = ,-167.00, YAxis = ,-303.00, Heading = ,4.21, Degress = ,241.14
 XAxis = ,-138.00, YAxis = ,-307.00, Heading = ,4.29, Degress = ,245.80
 XAxis = ,-138.00, YAxis = ,-287.00, Heading = ,4.26, Degress = ,244.32
 XAxis = ,-131.00, YAxis = ,-300.00, Heading = ,4.30, Degress = ,246.41
 XAxis = ,-183.00, YAxis = ,-315.00, Heading = ,4.19, Degress = ,239.85
 XAxis = ,-155.00, YAxis = ,-314.00, Heading = ,4.25, Degress = ,243.73
 XAxis = ,-108.00, YAxis = ,-290.00, Heading = ,4.36, Degress = ,249.57
 XAxis = ,-141.00, YAxis = ,-299.00, Heading = ,4.27, Degress = ,244.75
 XAxis = ,-134.00, YAxis = ,-308.00, Heading = ,4.30, Degress = ,246.49
 XAxis = ,-148.00, YAxis = ,-314.00, Heading = ,4.27, Degress = ,244.76
 XAxis = ,-145.00, YAxis = ,-294.00, Heading = ,4.25, Degress = ,243.75
 XAxis = ,-148.00, YAxis = ,-279.00, Heading = ,4.22, Degress = ,242.06
 XAxis = ,-189.00, YAxis = ,-310.00, Heading = ,4.16, Degress = ,238.63
 XAxis = ,-137.00, YAxis = ,-301.00, Heading = ,4.29, Degress = ,245.53
 XAxis = ,-177.00, YAxis = ,-317.00, Heading = ,4.20, Degress = ,240.82
 XAxis = ,-103.00, YAxis = ,-293.00, Heading = ,4.37, Degress = ,250.63
 XAxis = ,-177.00, YAxis = ,-334.00, Heading = ,4.23, Degress = ,242.08
 XAxis = ,-170.00, YAxis = ,-324.00, Heading = ,4.23, Degress = ,242.31
 XAxis = ,-210.00, YAxis = ,-303.00, Heading = ,4.11, Degress = ,235.28
 XAxis = ,-141.00, YAxis = ,-298.00, Heading = ,4.27, Degress = ,244.68
 XAxis = ,-177.00, YAxis = ,-282.00, Heading = ,4.15, Degress = ,237.89
 XAxis = ,-123.00, YAxis = ,-301.00, Heading = ,4.32, Degress = ,247.77
 XAxis = ,-153.00, YAxis = ,-293.00, Heading = ,4.23, Degress = ,242.43
 XAxis = ,-184.00, YAxis = ,-290.00, Heading = ,4.15, Degress = ,237.61
 XAxis = ,-171.00, YAxis = ,-281.00, Heading = ,4.17, Degress = ,238.68
 XAxis = ,-134.00, YAxis = ,-313.00, Heading = ,4.31, Degress = ,246.82
 XAxis = ,-134.00, YAxis = ,-303.00, Heading = ,4.30, Degress = ,246.14
 XAxis = ,-115.00, YAxis = ,-308.00, Heading = ,4.36, Degress = ,249.53
 XAxis = ,-153.00, YAxis = ,-313.00, Heading = ,4.26, Degress = ,243.95
 XAxis = ,-177.00, YAxis = ,-287.00, Heading = ,4.16, Degress = ,238.34
 XAxis = ,-134.00, YAxis = ,-327.00, Heading = ,4.32, Degress = ,247.72
 XAxis = ,-113.00, YAxis = ,-323.00, Heading = ,4.38, Degress = ,250.72
 XAxis = ,-167.00, YAxis = ,-287.00, Heading = ,4.19, Degress = ,239.81
 XAxis = ,-122.00, YAxis = ,-305.00, Heading = ,4.33, Degress = ,248.20
 XAxis = ,-138.00, YAxis = ,-298.00, Heading = ,4.28, Degress = ,245.15
 XAxis = ,-164.00, YAxis = ,-307.00, Heading = ,4.22, Degress = ,241.89
 XAxis = ,-125.00, YAxis = ,-231.00, Heading = ,4.22, Degress = ,241.58
 XAxis = ,-115.00, YAxis = ,-284.00, Heading = ,4.33, Degress = ,247.96
 XAxis = ,-167.00, YAxis = ,-337.00, Heading = ,4.25, Degress = ,243.64
 XAxis = ,-174.00, YAxis = ,-277.00, Heading = ,4.15, Degress = ,237.86
 XAxis = ,-155.00, YAxis = ,-310.00, Heading = ,4.25, Degress = ,243.43
